date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:24:21	294/294	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Feb%202019%2021:21:14%20GMT	http://markup.themewagon.com/robots.txt		(from )
22:24:21	20333/20333	---M-Z	200	added ('OK')	text/html	etag:%224f6d-5613bcb2712b2-gzip%22	http://markup.themewagon.com/tryfreya/	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/index.html	(from )
22:24:22	2115/2115	---M--	200	added ('OK')	image/png	etag:%22843-5612595a2e2b2%22	http://markup.themewagon.com/tryfreya/assets/images/favicons/apple-touch-icon.png	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/images/favicons/apple-touch-icon.png	(from http://markup.themewagon.com/tryfreya/)
22:24:23	437/437	---M--	200	added ('OK')	image/png	etag:%221b5-5612595a2e2b2%22	http://markup.themewagon.com/tryfreya/assets/images/favicons/favicon-32x32.png	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/images/favicons/favicon-32x32.png	(from http://markup.themewagon.com/tryfreya/)
22:24:24	234/234	---M--	200	added ('OK')	image/png	etag:%22ea-5612595a2e2b2%22	http://markup.themewagon.com/tryfreya/assets/images/favicons/favicon-16x16.png	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/images/favicons/favicon-16x16.png	(from http://markup.themewagon.com/tryfreya/)
22:24:25	15086/15086	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%223aee-5612595a2e2b2%22	http://markup.themewagon.com/tryfreya/assets/images/favicons/favicon.ico	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/images/favicons/favicon.ico	(from http://markup.themewagon.com/tryfreya/)
22:24:26	329/329	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Feb%202019%2021:21:20%20GMT	http://markup.themewagon.com/tryfreya/assets/images/favicons/manifest.json	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/images/favicons/manifest.json	(from http://markup.themewagon.com/tryfreya/)
22:24:27	1041/1041	---M--	200	added ('OK')	image/svg+xml	etag:%22411-5612595a2e2b2%22	http://markup.themewagon.com/tryfreya/assets/images/favicons/safari-pinned-tab.svg	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/images/favicons/safari-pinned-tab.svg	(from http://markup.themewagon.com/tryfreya/)
22:24:28	1758/1758	---M--	200	added ('OK')	image/png	etag:%226de-5612595a2e2b2%22	http://markup.themewagon.com/tryfreya/assets/images/favicons/mstile-150x150.png	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/images/favicons/mstile-150x150.png	(from http://markup.themewagon.com/tryfreya/)
22:24:29	127343/127343	---M-Z	200	added ('OK')	text/css	etag:%221f16f-5612595a38e92-gzip%22	http://markup.themewagon.com/tryfreya/assets/lib/bootstrap/dist/css/bootstrap.min.css	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/lib/bootstrap/dist/css/bootstrap.min.css	(from http://markup.themewagon.com/tryfreya/)
22:24:30	41406/41406	---M-Z	200	added ('OK')	text/css	etag:%22a1be-5612595a478f2-gzip%22	http://markup.themewagon.com/tryfreya/assets/lib/loaders.css/loaders.min.css	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/lib/loaders.css/loaders.min.css	(from http://markup.themewagon.com/tryfreya/)
22:24:32	687/687	---MC-	200	added ('OK')	text/css	date:Thu,%2007%20Feb%202019%2021:24:31%20GMT	https://fonts.googleapis.com/css?family=Nunito:300,400,600	/home/dhialinux/websites/culture/fonts.googleapis.com/cssb628.css	(from http://markup.themewagon.com/tryfreya/)
22:24:32	96420/96420	---M-Z	200	added ('OK')	text/css	etag:%22178a4-5612595a3bd72-gzip%22	http://markup.themewagon.com/tryfreya/assets/lib/iconsmind/iconsmind.css	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/assets/lib/iconsmind/iconsmind.css	(from http://markup.themewagon.com/tryfreya/)
